person1,person2,weight,relation_types,documents_count
Μεχεὶρ,Αἰλουρίωνος,1,co_occurs_in_document,1
Μεχεὶρ,Νότου,1,co_occurs_in_document,1
Μεχεὶρ,ΛιβόςΝότου,1,co_occurs_in_document,1
Μεχεὶρ,Λιβὸς,1,co_occurs_in_document,1
Μεχεὶρ,Αὐρήλιος Διόσκορος,1,co_occurs_in_document,1
Μεχεὶρ,Νότου καὶ ΛιβόςΝότου καὶ Λιβὸς,1,co_occurs_in_document,1
Μεχεὶρ,Παλᾷ,1,co_occurs_in_document,1
Μεχεὶρ,Φιλωτερίδος,1,co_occurs_in_document,1
Μεχεὶρ,Σαθρὼ,1,co_occurs_in_document,1
Μεχεὶρ,P.Flor. 2.174; P.Flor. 2.271e,1,co_occurs_in_document,1
Μεχεὶρ,Μαροῦ,1,co_occurs_in_document,1
Μεχεὶρ,Παρεμβολῆς,1,co_occurs_in_document,1
